urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
15,2,2,Bailey-Welch,58,28.008759,1.896321,26.112438,29.905081,0.173186,0.000699,0.172487,0.173885,2.254069,0.013166,2.240903,2.267235,0.958083,0.012530,0.945554,0.970613,0.417171,0.011540,0.405631,0.428711
15,2,3,Blocking,58,27.997531,1.897526,26.100005,29.895057,0.178612,0.000534,0.178078,0.179146,2.395096,0.013195,2.381901,2.408292,1.002089,0.012589,0.989500,1.014678,0.432774,0.011578,0.421196,0.444352
15,2,4,Benchmarking,58,27.452498,1.913039,25.539459,29.365537,0.078750,0.000488,0.078262,0.079238,2.297470,0.013227,2.284243,2.310697,0.998173,0.012492,0.985681,1.010664,0.418682,0.011633,0.407049,0.430316
15,3,1,FCFS,58,27.342996,1.905066,25.437930,29.248061,0.076661,0.000546,0.076115,0.077207,2.262900,0.012555,2.250345,2.275455,0.970717,0.011490,0.959227,0.982207,0.414189,0.011516,0.402673,0.425705
15,3,2,Bailey-Welch,58,27.960521,1.903680,26.056841,29.864201,0.178011,0.000836,0.177175,0.178846,2.207394,0.012723,2.194671,2.220117,0.918864,0.011638,0.907226,0.930501,0.411698,0.011510,0.400187,0.423208
15,3,3,Blocking,58,27.913565,1.908916,26.004649,29.822481,0.178781,0.000585,0.178196,0.179367,2.250976,0.012657,2.238319,2.263633,0.962792,0.011601,0.951191,0.974393,0.416261,0.011538,0.404723,0.427799
15,3,4,Benchmarking,58,27.408560,1.914695,25.493865,29.323256,0.078241,0.000543,0.077698,0.078784,2.247007,0.012600,2.234407,2.259607,0.958437,0.011524,0.946913,0.969961,0.412814,0.011570,0.401244,0.424383
16,1,1,FCFS,58,36.878524,3.470209,33.408314,40.348733,0.083413,0.000492,0.082922,0.083905,2.562530,0.012665,2.549866,2.575195,0.505919,0.009817,0.496102,0.515736,0.504241,0.020628,0.483613,0.524869
16,1,2,Bailey-Welch,58,37.563845,3.476772,34.087073,41.040617,0.179069,0.000858,0.178212,0.179927,2.486735,0.012599,2.474136,2.499334,0.454319,0.010016,0.444304,0.464335,0.499898,0.020645,0.479253,0.520543
16,1,3,Blocking,58,37.510945,3.481294,34.029651,40.992238,0.185274,0.000582,0.184692,0.185856,2.549124,0.012680,2.536445,2.561804,0.499182,0.009913,0.489269,0.509095,0.506515,0.020673,0.485842,0.527188
16,1,4,Benchmarking,58,36.967669,3.488104,33.479566,40.455773,0.084200,0.000499,0.083700,0.084699,2.544745,0.012684,2.532061,2.557429,0.496008,0.009837,0.486171,0.505844,0.502795,0.020722,0.482073,0.523517
16,2,1,FCFS,58,36.209884,3.467729,32.742155,39.677613,0.076733,0.000462,0.076271,0.077195,2.176939,0.012758,2.164181,2.189697,0.916271,0.012314,0.903957,0.928586,0.457417,0.020559,0.436858,0.477976
16,2,2,Bailey-Welch,58,36.857277,3.465802,33.391475,40.323079,0.170441,0.000725,0.169715,0.171166,2.115751,0.012721,2.103030,2.128472,0.863558,0.012418,0.851140,0.875975,0.454472,0.020545,0.433927,0.475017
16,2,3,Blocking,58,36.836987,3.462029,33.374958,40.299016,0.179068,0.000559,0.178509,0.179627,2.257852,0.012528,2.245325,2.270380,0.907364,0.012324,0.895041,0.919688,0.470140,0.020547,0.449593,0.490687
16,2,4,Benchmarking,58,36.295189,3.485862,32.809327,39.781050,0.078041,0.000477,0.077564,0.078519,2.160393,0.012761,2.147633,2.173154,0.903994,0.012311,0.891683,0.916305,0.456086,0.020665,0.435421,0.476752
16,3,1,FCFS,58,36.167777,3.471147,32.696630,39.638924,0.076673,0.000488,0.076186,0.077161,2.047200,0.013028,2.034173,2.060228,0.776232,0.011776,0.764455,0.788008,0.442751,0.020649,0.422102,0.463400
16,3,2,Bailey-Welch,58,36.785650,3.465076,33.320575,40.250726,0.178821,0.000853,0.177967,0.179674,1.988967,0.013105,1.975862,2.002072,0.723894,0.011927,0.711967,0.735822,0.439959,0.020606,0.419353,0.460564
16,3,3,Blocking,58,36.745179,3.470903,33.274276,40.216082,0.179870,0.000595,0.179275,0.180465,2.034323,0.013073,2.021251,2.047396,0.768019,0.011825,0.756193,0.779844,0.444757,0.020643,0.424114,0.465400
16,3,4,Benchmarking,58,36.238954,3.481687,32.757267,39.720641,0.078230,0.000492,0.077738,0.078722,2.030546,0.013074,2.017471,2.043620,0.764040,0.011802,0.752238,0.775841,0.441324,0.020706,0.420618,0.462030
