urgent_slots,strategy,rule,rule_name,slot_cluster,label,OV_mean,OV_hw,delta_OV,hw_delta_OV,sig_OV,slot_cluster_ord
18,3,2,Bailey-Welch,High (18-20),S3 - Bailey-Welch,1.129911,0.193470,0.679526,0.193612,True,High (18-20)
18,3,3,Blocking,High (18-20),S3 - Blocking,1.135178,0.193517,0.684793,0.193659,True,High (18-20)
18,3,4,Benchmarking,High (18-20),S3 - Benchmarking,1.131127,0.193545,0.680741,0.193687,True,High (18-20)
19,1,1,FCFS,High (18-20),S1 - FCFS,6.880728,0.960224,6.430342,0.960253,True,High (18-20)
19,1,2,Bailey-Welch,High (18-20),S1 - Bailey-Welch,6.877760,0.960219,6.427375,0.960248,True,High (18-20)
19,1,3,Blocking,High (18-20),S1 - Blocking,6.885263,0.960260,6.434877,0.960288,True,High (18-20)
19,1,4,Benchmarking,High (18-20),S1 - Benchmarking,6.878544,0.960218,6.428158,0.960247,True,High (18-20)
19,2,1,FCFS,High (18-20),S2 - FCFS,6.824385,0.960598,6.374000,0.960626,True,High (18-20)
19,2,2,Bailey-Welch,High (18-20),S2 - Bailey-Welch,6.817609,0.960411,6.367223,0.960439,True,High (18-20)
19,2,3,Blocking,High (18-20),S2 - Blocking,6.841381,0.960619,6.390995,0.960647,True,High (18-20)
19,2,4,Benchmarking,High (18-20),S2 - Benchmarking,6.822441,0.960594,6.372055,0.960622,True,High (18-20)
19,3,1,FCFS,High (18-20),S3 - FCFS,6.812782,0.960495,6.362397,0.960524,True,High (18-20)
19,3,2,Bailey-Welch,High (18-20),S3 - Bailey-Welch,6.812103,0.960486,6.361718,0.960514,True,High (18-20)
19,3,3,Blocking,High (18-20),S3 - Blocking,6.817538,0.960500,6.367153,0.960529,True,High (18-20)
19,3,4,Benchmarking,High (18-20),S3 - Benchmarking,6.810755,0.960491,6.360369,0.960520,True,High (18-20)
20,1,1,FCFS,High (18-20),S1 - FCFS,19.429984,2.889314,18.979599,2.889324,True,High (18-20)
20,1,2,Bailey-Welch,High (18-20),S1 - Bailey-Welch,19.427062,2.889351,18.976677,2.889360,True,High (18-20)
20,1,3,Blocking,High (18-20),S1 - Blocking,19.434589,2.889358,18.984203,2.889367,True,High (18-20)
20,1,4,Benchmarking,High (18-20),S1 - Benchmarking,19.427801,2.889313,18.977416,2.889323,True,High (18-20)
20,2,1,FCFS,High (18-20),S2 - FCFS,19.363033,2.889411,18.912647,2.889421,True,High (18-20)
20,2,2,Bailey-Welch,High (18-20),S2 - Bailey-Welch,19.359373,2.889455,18.908988,2.889464,True,High (18-20)
20,2,3,Blocking,High (18-20),S2 - Blocking,19.380604,2.889457,18.930219,2.889467,True,High (18-20)
20,2,4,Benchmarking,High (18-20),S2 - Benchmarking,19.361103,2.889413,18.910718,2.889423,True,High (18-20)
20,3,1,FCFS,High (18-20),S3 - FCFS,19.355885,2.889352,18.905500,2.889362,True,High (18-20)
20,3,2,Bailey-Welch,High (18-20),S3 - Bailey-Welch,19.351844,2.889356,18.901459,2.889366,True,High (18-20)
20,3,3,Blocking,High (18-20),S3 - Blocking,19.357154,2.889362,18.906768,2.889371,True,High (18-20)
20,3,4,Benchmarking,High (18-20),S3 - Benchmarking,19.353849,2.889354,18.903464,2.889363,True,High (18-20)
